cohort,source_skill_id,source_skill_name,source_repo,target_skill_id,target_candidate,resolution,evidence_type,confidence,local_path,line_no,evidence_text,reviewer,is_true_dependency,target_corrected,mechanism_label,notes
popular,obra-superpowers-skills-brainstorming-skill-md,brainstorming,obra/superpowers,obra-superpowers-skills-writing-plans-skill-md,writing-plans,same_repo_unique,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/obra-superpowers-skills-brainstorming-skill-md/content/SKILL.md,31,6. **Transition to implementation** — invoke writing-plans skill to create implementation plan,,,,,
random,kellyson520-tg-one-agent-skills-skill-master-skill-md,skill-master,kellyson520/TG-ONE,,the,unresolved,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/kellyson520-tg-one-agent-skills-skill-master-skill-md/content/SKILL.md,158,#### Step 4.1: Invoke the Skill,,,,,
random,emasoft-claude-plugins-validation-skills-plugin-validation-skill-skill-md,plugin-validation-skill,Emasoft/claude-plugins-validation,,the,unresolved,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/emasoft-claude-plugins-validation-skills-plugin-validation-skill-skill-md/content/references/skill-validation.md,175,Controls whether users can invoke the skill directly via slash command.,,,,,
popular,obra-superpowers-skills-using-superpowers-skill-md,using-superpowers,obra/superpowers,,the,unresolved,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/obra-superpowers-skills-using-superpowers-skill-md/content/SKILL.md,24,"**Invoke relevant or requested skills BEFORE any response or action.** Even a 1% chance a skill might apply means that you should invoke the skill to check. If an invoked skill turns out to be wrong for the situation, you don't need to use it.",,,,,
random,jordinodejs-github-config-github-skills-vercel-env-sync-skill-md,vercel-env-sync,JordiNodeJS/.github-config,,skill.md,unresolved,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/jordinodejs-github-config-github-skills-vercel-env-sync-skill-md/content/README.md,5,[![Version](https://img.shields.io/badge/version-2.0-blue.svg)](./SKILL.md),,,,,
popular,davila7-claude-code-templates-cli-tool-components-skills-development-web-quality-audit-skill-md,web-quality-audit,davila7/claude-code-templates,davila7-claude-code-templates-cli-tool-components-skills-development-seo-skill-md,seo,same_repo_unique,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-development-web-quality-audit-skill-md/content/SKILL.md,169,- [SEO](../seo/SKILL.md),,,,,
random,dragnoir-shopify-agent-skills-skills-api-graphql-skill-md,api-graphql,dragnoir/Shopify-agent-skills,dragnoir-shopify-agent-skills-skills-app-development-skill-md,app-development,same_repo_unique,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/dragnoir-shopify-agent-skills-skills-api-graphql-skill-md/content/SKILL.md,786,"For app integration, see the [app-development](../app-development/SKILL.md) skill.",,,,,
random,robert-chiniquy-dotfiles-claude-skills-terraform-skill-md,terraform-skill,robert-chiniquy/dotfiles,,skill.md,unresolved,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/robert-chiniquy-dotfiles-claude-skills-terraform-skill-md/content/references/quick-reference.md,600,**Back to:** [Main Skill File](../SKILL.md),,,,,
random,robert-chiniquy-dotfiles-claude-skills-terraform-skill-md,terraform-skill,robert-chiniquy/dotfiles,,skill.md,unresolved,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/robert-chiniquy-dotfiles-claude-skills-terraform-skill-md/content/references/code-patterns.md,6,"This document provides detailed code patterns, structure guidelines, and modern Terraform features. For high-level principles, see the [main skill file](../SKILL.md).",,,,,
random,kuippa-onocoro-github-skills-documentation-loader-skill-md,documentation-loader,kuippa/OnoCoro,kuippa-onocoro-github-skills-microsoft-docs-skill-md,microsoft-docs,same_repo_unique,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/kuippa-onocoro-github-skills-documentation-loader-skill-md/content/SKILL.md,300,- **[microsoft-docs](../microsoft-docs/SKILL.md)** — For API research,,,,,
popular,davila7-claude-code-templates-cli-tool-components-skills-development-accessibility-skill-md,accessibility,davila7/claude-code-templates,davila7-claude-code-templates-cli-tool-components-skills-development-web-quality-audit-skill-md,web-quality-audit,same_repo_unique,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-development-accessibility-skill-md/content/SKILL.md,522,- [Web Quality Audit](../web-quality-audit/SKILL.md),,,,,
random,amnadtaowsoam-cerebraskills-50-enterprise-integrations-enterprise-rbac-models-skill-md,enterprise-rbac-models,AmnadTaowsoam/CerebraSkills,amnadtaowsoam-cerebraskills-50-enterprise-integrations-sso-saml-oidc-skill-md,sso-saml-oidc,same_repo_unique,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/amnadtaowsoam-cerebraskills-50-enterprise-integrations-enterprise-rbac-models-skill-md/content/SKILL.md,96,"* **Related Skills**: [SSO (SAML & OIDC)](file://50-enterprise-integrations/sso-saml-oidc/SKILL.md), [SCIM Provisioning](file://50-enterprise-integrations/scim-provisioning/SKILL.md)",,,,,
random,jordinodejs-github-config-github-skills-vercel-env-sync-skill-md,vercel-env-sync,JordiNodeJS/.github-config,jordinodejs-github-config-github-skills-vercel-cli-management-skill-md,vercel-cli-management,same_repo_unique,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/jordinodejs-github-config-github-skills-vercel-env-sync-skill-md/content/README.md,157,- [vercel-cli-management](../vercel-cli-management/SKILL.md) - General Vercel CLI usage,,,,,
random,robert-chiniquy-dotfiles-claude-skills-terraform-skill-md,terraform-skill,robert-chiniquy/dotfiles,,skill.md,unresolved,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/robert-chiniquy-dotfiles-claude-skills-terraform-skill-md/content/references/module-patterns.md,3,> **Part of:** [terraform-skill](../SKILL.md),,,,,
random,robert-chiniquy-dotfiles-claude-skills-terraform-skill-md,terraform-skill,robert-chiniquy/dotfiles,,skill.md,unresolved,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/robert-chiniquy-dotfiles-claude-skills-terraform-skill-md/content/references/code-patterns.md,859,**Back to:** [Main Skill File](../SKILL.md),,,,,
random,robert-chiniquy-dotfiles-claude-skills-terraform-skill-md,terraform-skill,robert-chiniquy/dotfiles,,skill.md,unresolved,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/robert-chiniquy-dotfiles-claude-skills-terraform-skill-md/content/references/ci-cd-workflows.md,473,**Back to:** [Main Skill File](../SKILL.md),,,,,
random,amnadtaowsoam-cerebraskills-50-enterprise-integrations-enterprise-rbac-models-skill-md,enterprise-rbac-models,AmnadTaowsoam/CerebraSkills,amnadtaowsoam-cerebraskills-50-enterprise-integrations-scim-provisioning-skill-md,scim-provisioning,same_repo_unique,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/amnadtaowsoam-cerebraskills-50-enterprise-integrations-enterprise-rbac-models-skill-md/content/SKILL.md,96,"* **Related Skills**: [SSO (SAML & OIDC)](file://50-enterprise-integrations/sso-saml-oidc/SKILL.md), [SCIM Provisioning](file://50-enterprise-integrations/scim-provisioning/SKILL.md)",,,,,
random,polarcoding85-convex-agent-skillz-claude-skills-convex-components-skill-skill-md,convex-components,PolarCoding85/convex-agent-skillz,,convex-agent-skill,unresolved,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/polarcoding85-convex-agent-skillz-claude-skills-convex-components-skill-skill-md/content/SKILL.md,104,- **[Agent](../convex-agent-skill/SKILL.md)** - AI agents with persistent threads (separate skill),,,,,
random,josix-agent-flow-skills-team-decision-skill-md,team-decision,josix/agent-flow,,skill.md,unresolved,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/josix-agent-flow-skills-team-decision-skill-md/content/references/file-ownership-rules.md,403,- [SKILL.md](../SKILL.md) - Main team decision documentation,,,,,
popular,langfuse-langfuse-claude-skills-backend-dev-guidelines-skill-md,backend-dev-guidelines,langfuse/langfuse,,skill.md,unresolved,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/langfuse-langfuse-claude-skills-backend-dev-guidelines-skill-md/content/resources/database-patterns.md,658,- [SKILL.md](../SKILL.md) - Main backend development guidelines,,,,,
random,jordinodejs-github-config-github-skills-vercel-env-sync-skill-md,vercel-env-sync,JordiNodeJS/.github-config,jordinodejs-github-config-github-skills-nextjs16-proxy-middleware-skill-md,nextjs16-proxy-middleware,same_repo_unique,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/jordinodejs-github-config-github-skills-vercel-env-sync-skill-md/content/SKILL.md,734,- **[nextjs16-proxy-middleware](../nextjs16-proxy-middleware/SKILL.md)** - Middleware using env vars,,,,,
random,simhacker-moollm-skills-postal-skill-md,postal,SimHacker/moollm,,skill.md,unresolved,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/simhacker-moollm-skills-postal-skill-md/content/README.md,62,See [SKILL.md](./SKILL.md) for full documentation.,,,,,
popular,davila7-claude-code-templates-cli-tool-components-skills-development-best-practices-skill-md,best-practices,davila7/claude-code-templates,davila7-claude-code-templates-cli-tool-components-skills-development-web-quality-audit-skill-md,web-quality-audit,same_repo_unique,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-development-best-practices-skill-md/content/SKILL.md,583,- [Web Quality Audit](../web-quality-audit/SKILL.md),,,,,
random,robert-chiniquy-dotfiles-claude-skills-terraform-skill-md,terraform-skill,robert-chiniquy/dotfiles,,skill.md,unresolved,relative_skill_link,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/robert-chiniquy-dotfiles-claude-skills-terraform-skill-md/content/references/module-patterns.md,1126,**Back to:** [Main Skill File](../SKILL.md),,,,,
